"","params","delta","n","decision"
"1","delta=0.1, n=15",0.1,15,1
"2","delta=0.1, n=15",0.1,15,0
"3","delta=0.1, n=15",0.1,15,0
"4","delta=0.1, n=15",0.1,15,0
"5","delta=0.1, n=15",0.1,15,0
"6","delta=0.1, n=15",0.1,15,0
"7","delta=0.1, n=15",0.1,15,0
"8","delta=0.1, n=15",0.1,15,0
"9","delta=0.1, n=15",0.1,15,0
"10","delta=0.1, n=15",0.1,15,1
"11","delta=0.1, n=15",0.1,15,0
"12","delta=0.1, n=15",0.1,15,0
"13","delta=0.1, n=15",0.1,15,0
"14","delta=0.1, n=15",0.1,15,0
"15","delta=0.1, n=15",0.1,15,0
"16","delta=0.1, n=15",0.1,15,0
"17","delta=0.1, n=15",0.1,15,0
"18","delta=0.1, n=15",0.1,15,0
"19","delta=0.1, n=15",0.1,15,0
"20","delta=0.1, n=15",0.1,15,0
"21","delta=0.1, n=15",0.1,15,0
"22","delta=0.1, n=15",0.1,15,0
"23","delta=0.1, n=15",0.1,15,0
"24","delta=0.1, n=15",0.1,15,0
"25","delta=0.1, n=15",0.1,15,0
"26","delta=0.1, n=15",0.1,15,0
"27","delta=0.1, n=15",0.1,15,0
"28","delta=0.1, n=15",0.1,15,0
"29","delta=0.1, n=15",0.1,15,0
"30","delta=0.1, n=15",0.1,15,0
"31","delta=0.1, n=15",0.1,15,0
"32","delta=0.1, n=15",0.1,15,0
"33","delta=0.1, n=15",0.1,15,0
"34","delta=0.1, n=15",0.1,15,0
"35","delta=0.1, n=15",0.1,15,0
"36","delta=0.1, n=15",0.1,15,1
"37","delta=0.1, n=15",0.1,15,0
"38","delta=0.1, n=15",0.1,15,0
"39","delta=0.1, n=15",0.1,15,0
"40","delta=0.1, n=15",0.1,15,0
"41","delta=0.1, n=15",0.1,15,0
"42","delta=0.1, n=15",0.1,15,0
"43","delta=0.1, n=15",0.1,15,0
"44","delta=0.1, n=15",0.1,15,0
"45","delta=0.1, n=15",0.1,15,0
"46","delta=0.1, n=15",0.1,15,0
"47","delta=0.1, n=15",0.1,15,0
"48","delta=0.1, n=15",0.1,15,0
"49","delta=0.1, n=15",0.1,15,0
"50","delta=0.1, n=15",0.1,15,1
"51","delta=0.1, n=15",0.1,15,0
"52","delta=0.1, n=15",0.1,15,0
"53","delta=0.1, n=15",0.1,15,0
"54","delta=0.1, n=15",0.1,15,0
"55","delta=0.1, n=15",0.1,15,0
"56","delta=0.1, n=15",0.1,15,0
"57","delta=0.1, n=15",0.1,15,0
"58","delta=0.1, n=15",0.1,15,1
"59","delta=0.1, n=15",0.1,15,0
"60","delta=0.1, n=15",0.1,15,0
"61","delta=0.1, n=15",0.1,15,0
"62","delta=0.1, n=15",0.1,15,0
"63","delta=0.1, n=15",0.1,15,0
"64","delta=0.1, n=15",0.1,15,0
"65","delta=0.1, n=15",0.1,15,0
"66","delta=0.1, n=15",0.1,15,0
"67","delta=0.1, n=15",0.1,15,0
"68","delta=0.1, n=15",0.1,15,0
"69","delta=0.1, n=15",0.1,15,0
"70","delta=0.1, n=15",0.1,15,0
"71","delta=0.1, n=15",0.1,15,0
"72","delta=0.1, n=15",0.1,15,0
"73","delta=0.1, n=15",0.1,15,0
"74","delta=0.1, n=15",0.1,15,0
"75","delta=0.1, n=15",0.1,15,0
"76","delta=0.1, n=15",0.1,15,0
"77","delta=0.1, n=15",0.1,15,1
"78","delta=0.1, n=15",0.1,15,0
"79","delta=0.1, n=15",0.1,15,0
"80","delta=0.1, n=15",0.1,15,0
"81","delta=0.1, n=15",0.1,15,0
"82","delta=0.1, n=15",0.1,15,0
"83","delta=0.1, n=15",0.1,15,0
"84","delta=0.1, n=15",0.1,15,0
"85","delta=0.1, n=15",0.1,15,0
"86","delta=0.1, n=15",0.1,15,0
"87","delta=0.1, n=15",0.1,15,0
"88","delta=0.1, n=15",0.1,15,0
"89","delta=0.1, n=15",0.1,15,0
"90","delta=0.1, n=15",0.1,15,0
"91","delta=0.1, n=15",0.1,15,0
"92","delta=0.1, n=15",0.1,15,0
"93","delta=0.1, n=15",0.1,15,0
"94","delta=0.1, n=15",0.1,15,0
"95","delta=0.1, n=15",0.1,15,0
"96","delta=0.1, n=15",0.1,15,1
